tipoDocumento,numeroDocumento,nombres,apellidos,correo,ficha,programa,sede,trimestre
CC,1017200101,Mateo,Jaramillo Ospina,mateo.jaramillo@soy.sena.edu.co,2845670,Análisis y Desarrollo de Software,Sede Cazucá,3
CC,1017200102,Sofía,Valencia Ríos,sofia.valencia@soy.sena.edu.co,2845670,Análisis y Desarrollo de Software,Sede Cazucá,3
TI,1017200103,Alejandro,Montoya Restrepo,alejandro.montoya@gmail.com,2845670,Análisis y Desarrollo de Software,Sede Cazucá,3
CC,1017200104,Camila,Torres Morales,camila.torres@soy.sena.edu.co,2845670,Análisis y Desarrollo de Software,Sede Cazucá,3
CC,1017200105,Daniel,Echeverri Gómez,daniel.echeverri@gmail.com,2845670,Análisis y Desarrollo de Software,Sede Cazucá,3
TI,1017200106,Mariana,Cardona Bedoya,mariana.cardona@soy.sena.edu.co,2910345,Gestión de Redes de Datos,Sede Central,2
CC,1017200107,Santiago,Ramírez Gil,santiago.ramirez@gmail.com,2910345,Gestión de Redes de Datos,Sede Central,2
CC,1017200108,Valeria,Castrillón Marín,valeria.castrillon@soy.sena.edu.co,2910345,Gestión de Redes de Datos,Sede Central,2
CC,1017200109,Lucas,Cano Henao,lucas.cano@gmail.com,2910345,Gestión de Redes de Datos,Sede Central,2
TI,1017200110,Isabella,Giraldo Arango,isabella.giraldo@soy.sena.edu.co,2910345,Gestión de Redes de Datos,Sede Central,2
CC,1017200111,Esteban,Zuluaga Lopera,esteban.zuluaga@gmail.com,3012890,Ciberseguridad e Infraestructura,Sede Norte,1
CC,1017200112,Gabriela,Osorio Peláez,gabriela.osorio@soy.sena.edu.co,3012890,Ciberseguridad e Infraestructura,Sede Norte,1
TI,1017200113,Samuel,Quintero Agudelo,samuel.quintero@gmail.com,3012890,Ciberseguridad e Infraestructura,Sede Norte,1
CC,1017200114,Salomé,Vargas Benítez,salome.vargas@soy.sena.edu.co,3012890,Ciberseguridad e Infraestructura,Sede Norte,1
CC,1017200115,Felipe,Arias Morales,felipe.arias@gmail.com,3012890,Ciberseguridad e Infraestructura,Sede Norte,1
